accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
2020010258922,2020,010258922,2,90,electric scooter
2020010259236,2020,010259236,1,90,electric scooter
2020440083127,2020,440083127,1,90,electric scooter
2020501015618,2020,501015618,2,90,electric scooter
2020010250420,2020,010250420,2,90,electric scooter
2022522300153,2022,522300153,2,90,electric scooter
2022522300157,2022,522300157,2,90,electric scooter
2022522300165,2022,522300165,2,90,electric scooter
2022522300198,2022,522300198,2,90,electric scooter
2022522300231,2022,522300231,2,90,electric scooter
2022522300246,2022,522300246,2,90,electric scooter
2022522300412,2022,522300412,2,90,electric scooter
2022531144974,2022,531144974,2,90,electric scooter
2022531162052,2022,531162052,1,90,electric scooter
2022531186861,2022,531186861,1,90,electric scooter
2022531200703,2022,531200703,2,90,electric scooter
2022531213988,2022,531213988,1,90,electric scooter
2022531216273,2022,531216273,1,90,electric scooter
2022531238451,2022,531238451,2,90,electric scooter
2022540807222,2022,540807222,1,90,electric scooter
2022541020422,2022,541020422,1,90,electric scooter
2022541470422,2022,541470422,1,90,electric scooter
2022543679522,2022,543679522,1,90,electric scooter
2022549528222,2022,549528222,1,90,electric scooter
2022549808522,2022,549808522,1,90,electric scooter
202254A830322,2022,54A830322,1,90,electric scooter
202254A993222,2022,54A993222,1,90,electric scooter
202254C334722,2022,54C334722,1,90,electric scooter
2022552200031,2022,552200031,1,90,electric scooter
2022552200382,2022,552200382,2,90,electric scooter
2022552200466,2022,552200466,1,90,electric scooter
2022552200484,2022,552200484,1,90,electric scooter
2022552200552,2022,552200552,1,90,electric scooter
2022552200630,2022,552200630,1,90,electric scooter
2022552200708,2022,552200708,2,90,electric scooter
2022552200838,2022,552200838,1,90,electric scooter
2022552200841,2022,552200841,1,90,electric scooter
2022552200855,2022,552200855,2,90,electric scooter
2022552200889,2022,552200889,1,90,electric scooter
2022552200915,2022,552200915,1,90,electric scooter
2022552200961,2022,552200961,1,90,electric scooter
2022552201007,2022,552201007,1,90,electric scooter
2022552201026,2022,552201026,1,90,electric scooter
2022552201060,2022,552201060,2,90,electric scooter
2022552201078,2022,552201078,2,90,electric scooter
2022552201171,2022,552201171,1,90,electric scooter
2022552201344,2022,552201344,2,90,electric scooter
2022552201421,2022,552201421,2,90,electric scooter
202260B095563,2022,60B095563,2,90,electric scooter
2022610002122,2022,610002122,2,90,electric scooter
2022610004822,2022,610004822,1,90,electric scooter
2022610025322,2022,610025322,1,90,electric scooter
2022610025622,2022,610025622,2,90,electric scooter
2022610027422,2022,610027422,2,90,electric scooter
2022610035422,2022,610035422,2,90,electric scooter
2022610036922,2022,610036922,2,90,electric scooter
2022622200135,2022,622200135,2,90,electric scooter
2022622200164,2022,622200164,2,90,electric scooter
2022622200214,2022,622200214,1,90,electric scooter
2022622200221,2022,622200221,1,90,electric scooter
2022622200261,2022,622200261,1,90,electric scooter
2022622200317,2022,622200317,2,90,electric scooter
2022622200318,2022,622200318,2,90,electric scooter
